Row 88: Đầu vào: 2026-05-19 00:00:00, Ép TL: 2026-05-22 00:00:00, Pipe: 4279.05.26
Row 91: Đầu vào: 2026-05-19 00:00:00, Ép TL: 2026-05-22 00:00:00, Pipe: 4282.05.26
Row 92: Đầu vào: 2026-05-19 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 4283.05.26
Row 93: Đầu vào: 2026-05-19 00:00:00, Ép TL: 2026-05-22 00:00:00, Pipe: 4284.05.26
Row 96: Đầu vào: 2026-05-19 00:00:00, Ép TL: 2026-05-22 00:00:00, Pipe: 4287.05.26
Row 100: Đầu vào: 2026-05-19 00:00:00, Ép TL: 2026-05-22 00:00:00, Pipe: 4291.05.26
Row 190: Đầu vào: 2026-05-20 00:00:00, Ép TL: 2026-05-22 00:00:00, Pipe: 4326.05.26
Row 213: Đầu vào: 2026-05-20 00:00:00, Ép TL: 2026-05-22 00:00:00, Pipe: 4349.05.26
Row 214: Đầu vào: 2026-05-20 00:00:00, Ép TL: 2026-05-22 00:00:00, Pipe: 4350.05.26
Row 224: Đầu vào: 2026-05-21 00:00:00, Ép TL: 2026-05-23 00:00:00, Pipe: 4360.05.26
Row 225: Đầu vào: 2026-05-21 00:00:00, Ép TL: 2026-05-23 00:00:00, Pipe: 4361.05.26
Row 226: Đầu vào: 2026-05-21 00:00:00, Ép TL: 2026-05-23 00:00:00, Pipe: 4362.05.26
Row 232: Đầu vào: 2026-05-21 00:00:00, Ép TL: 2026-05-23 00:00:00, Pipe: 4368.05.26
Row 238: Đầu vào: 2026-05-21 00:00:00, Ép TL: 2026-05-23 00:00:00, Pipe: 4374.05.26
Row 239: Đầu vào: 2026-05-21 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 4375.05.26
Row 244: Đầu vào: 2026-05-21 00:00:00, Ép TL: 2026-05-23 00:00:00, Pipe: 4380.05.26
Row 245: Đầu vào: 2026-05-21 00:00:00, Ép TL: 2026-05-23 00:00:00, Pipe: 4381.05.26
Row 246: Đầu vào: 2026-05-21 00:00:00, Ép TL: 2026-05-23 00:00:00, Pipe: 4382.05.26
Row 247: Đầu vào: 2026-05-21 00:00:00, Ép TL: 2026-05-23 00:00:00, Pipe: 4383.05.26
Row 248: Đầu vào: 2026-05-21 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 4384.05.26
Row 320: Đầu vào: 2026-05-22 00:00:00, Ép TL: 2026-05-25 00:00:00, Pipe: 4398.05.26
Row 689: Đầu vào: 2026-05-26 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 4708.05.26
Row 697: Đầu vào: 2026-05-27 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 4716.05.26
Row 706: Đầu vào: 2026-05-27 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 4725.05.26
Row 709: Đầu vào: 2026-05-27 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 4728.05.26
Row 756: Đầu vào: 2026-05-27 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 4774.05.26
Row 757: Đầu vào: 2026-05-27 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 4775.05.26
Row 792: Đầu vào: 2026-05-28 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 4810.05.26
Row 868: Đầu vào: 2026-05-29 00:00:00, Ép TL: 2026-06-01 00:00:00, Pipe: 4886.05.26
Row 978: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 4996.06.26
Row 1033: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5051.06.26
Row 1034: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5052.06.26
Row 1035: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5053.06.26
Row 1036: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5054.06.26
Row 1038: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5056.06.26
Row 1039: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5057.06.26
Row 1040: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5058.06.26
Row 1041: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-03 00:00:00, Pipe: 5059.06.26
Row 1042: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5060.06.26
Row 1043: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5061.06.26
Row 1044: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5062.06.26
Row 1047: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5065.06.26
Row 1049: Đầu vào: 2026-06-01 00:00:00, Ép TL: 2026-06-10 00:00:00, Pipe: 5067.06.26
Row 1068: Đầu vào: 2026-06-02 00:00:00, Ép TL: 2026-06-03 00:00:00, Pipe: 5086.06.26
Row 1148: Đầu vào: 2026-06-02 00:00:00, Ép TL: 2026-06-04 00:00:00, Pipe: 5166.06.26
Row 1150: Đầu vào: 2026-06-02 00:00:00, Ép TL: 2026-06-04 00:00:00, Pipe: 5168.06.26
Row 1154: Đầu vào: 2026-06-02 00:00:00, Ép TL: 2026-06-04 00:00:00, Pipe: 5172.06.26
Row 1223: Đầu vào: 2026-06-04 00:00:00, Ép TL: nan, Pipe: 5235.06.26
Row 1224: Đầu vào: 2026-06-04 00:00:00, Ép TL: 2026-06-12 00:00:00, Pipe: 5236.06.26
Row 1237: Đầu vào: 2026-06-04 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5249.06.26
Row 1283: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5295.06.26
Row 1328: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5340.06.26
Row 1332: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5344.06.26
Row 1333: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5345.06.26
Row 1334: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5346.06.26
Row 1335: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5347.06.26
Row 1336: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5348.06.26
Row 1337: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5349.06.26
Row 1338: Đầu vào: 2026-06-05 00:00:00, Ép TL: 2026-06-06 00:00:00, Pipe: 5350.06.26
Row 1340: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5352.06.26
Row 1341: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5353.06.26
Row 1342: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5354.06.26
Row 1345: Đầu vào: 2026-06-05 00:00:00, Ép TL: nan, Pipe: 5357.06.26
